Iteration,X,Y,FoM,Estimated Min
0,-3.75,-3.75,11.4453125,-36.106130336365446
0,-3.75,-1.25,87.6953125,28.189642577478615
0,-3.75,1.25,103.0078125,22.522935808947594
0,-3.75,3.75,57.3828125,-43.9391867028376
0,-1.25,-3.75,207.6953125,86.14161602011207
0,-1.25,-1.25,158.9453125,121.96445500197373
0,-1.25,1.25,111.7578125,61.43870743085555
0,-1.25,3.75,66.1328125,-9.65750750489336
0,1.25,-3.75,243.0078125,102.55206546211562
0,1.25,-1.25,131.7578125,77.12140101498926
0,1.25,1.25,84.5703125,29.912681755233734
0,1.25,3.75,101.4453125,0.7475085046261398
0,3.75,-3.75,117.3828125,-27.532759118281717
0,3.75,-1.25,6.1328125,-17.461076675917166
0,3.75,1.25,21.4453125,-32.74805982994573
0,3.75,3.75,163.3203125,-26.744600961431274
1,-4.375,-4.375,74.48486328125,13.543365561369107
1,-4.375,-3.125,27.74658203125,-14.61649912059005
1,-3.125,-4.375,112.74658203125,28.512312611498672
1,-3.125,-3.125,19.13330078125,-4.704715290691222
1,-4.375,3.125,129.50439453125,40.947336876440986
1,-4.375,4.375,216.94580078125,102.28985532036089
1,-3.125,3.125,3.70361328125,-7.062949353317439
1,-3.125,4.375,91.14501953125,18.03803227476662
1,-1.875,3.125,19.79736328125,4.523428409085271
1,-1.875,4.375,115.05126953125,35.9933133224834
1,-0.625,3.125,60.59814453125,49.17907758479505
1,-0.625,4.375,171.47705078125,86.2006522155277
1,0.625,3.125,67.51220703125,54.2993397505151
1,0.625,4.375,201.82861328125,108.50641253186647
1,1.875,3.125,40.53955078125,16.423818729290858
1,1.875,4.375,206.10595703125,100.43719299724806
1,3.125,-4.375,264.50439453125,140.24459684971993
1,3.125,-3.125,53.70361328125,12.705316300296452
1,4.375,-4.375,286.94580078125,155.08342875018818
1,4.375,-3.125,76.14501953125,19.047219321067182
1,3.125,-1.875,9.79736328125,-7.766471870250896
1,3.125,-0.625,15.59814453125,2.0656178851409788
1,4.375,-1.875,40.05126953125,-9.262022311871512
1,4.375,-0.625,61.47705078125,4.591807232607394
1,3.125,0.625,12.51220703125,4.714122176410453
1,3.125,1.875,0.53955078125,-2.7418529621312944
1,4.375,0.625,81.82861328125,15.798986316682104
1,4.375,1.875,101.10595703125,21.97265974530501
1,3.125,3.125,38.27392578125,0.6514805912844324
1,3.125,4.375,242.90283203125,118.1888478719691
1,4.375,3.125,177.90283203125,72.20637187941848
1,4.375,4.375,429.40673828125,251.43974035012306
2,-4.6875,-3.4375,56.795196533203125,25.494242744837944
2,-4.6875,-2.8125,80.85647583007812,43.07239049405755
2,-4.0625,-3.4375,4.838409423828125,-2.3810306539418136
2,-4.0625,-2.8125,17.180938720703125,2.907422184040314
2,-3.4375,-3.4375,8.771514892578125,-1.3329610104629719
2,-3.4375,-2.8125,10.371856689453125,3.0473564593119207
2,-2.8125,-3.4375,46.621856689453125,27.299774787355716
2,-2.8125,-2.8125,38.456573486328125,24.462924423611547
2,-3.4375,2.8125,19.556427001953125,6.543302605682097
2,-3.4375,3.4375,19.997100830078125,6.26719262754518
2,-2.8125,2.8125,3.695831298828125,-1.1581724415666557
2,-2.8125,3.4375,4.136505126953125,-2.105745720689839
2,2.8125,-2.1875,28.207550048828125,14.887849831732284
2,2.8125,-1.5625,24.693145751953125,12.350993290560211
2,3.4375,-2.1875,3.374786376953125,-1.3118907261647745
2,3.4375,-1.5625,1.813507080078125,-1.2056808224226927
2,2.8125,-0.9375,27.166290283203125,15.652183918843889
2,2.8125,-0.3125,28.302764892578125,18.030523076034296
2,3.4375,-0.9375,7.216339111328125,4.547164102816301
2,3.4375,-0.3125,12.259063720703125,11.07932985519003
2,4.0625,-2.1875,14.412384033203125,1.5141281630753216
2,4.0625,-1.5625,15.780792236328125,1.6375281117131149
2,4.6875,-2.1875,83.29299926757812,45.790771215161264
2,4.6875,-1.5625,88.56765747070312,49.32009413103961
2,2.8125,1.5625,5.381622314453125,-0.13179174262695081
2,2.8125,2.1875,1.171417236328125,-0.9473703409573488
2,3.4375,1.5625,6.916046142578125,0.16523551991131136
2,3.4375,2.1875,10.518341064453125,0.1702235706968498
3,-4.21875,-3.59375,13.14366340637207,7.202814748553664
3,-4.21875,-3.28125,12.570924758911133,5.762066386423019
3,-3.90625,-3.59375,4.477510452270508,1.3536411379635473
3,-3.90625,-3.28125,0.9750843048095703,-0.7935648926090098
3,-3.59375,-3.59375,8.206453323364258,3.051693098725549
3,-3.59375,-3.28125,1.8964099884033203,-0.37972453658229366
3,-3.28125,-3.59375,21.58390998840332,13.65374569922609
3,-3.28125,-3.28125,12.588319778442383,7.177916320158426
3,-2.96875,2.65625,8.70671272277832,5.159493439221187
3,-2.96875,2.96875,1.9465351104736328,0.09025488512279822
3,-2.65625,2.65625,8.422212600708008,4.955580236527299
3,-2.65625,2.96875,1.6620349884033203,0.029379153681796
3,-2.96875,3.28125,1.8349933624267578,-0.047683569254857616
3,-2.96875,3.59375,10.660905838012695,5.529424039226776
3,-2.65625,3.28125,1.6725635528564453,-0.11356890719731583
3,-2.65625,3.59375,10.742616653442383,5.520297922077869
3,3.28125,-2.34375,9.790239334106445,5.668925528154953
3,3.28125,-2.03125,5.294466018676758,1.985123065886357
3,3.59375,-2.34375,4.539003372192383,2.2719673040215116
3,3.59375,-2.03125,0.5315113067626953,-0.14074806844655363
3,3.28125,-1.71875,4.395570755004883,1.3920346874482536
3,3.28125,-1.40625,5.72026252746582,2.865576577578627
3,3.59375,-1.71875,0.2429676055908203,-0.1980611579000751
3,3.59375,-1.40625,2.300081253051758,1.1851303313359245
3,2.65625,1.40625,12.040834426879883,7.992011614572421
3,2.65625,1.71875,6.884355545043945,3.5799715510204138
3,2.96875,1.40625,4.826555252075195,2.7572503067985243
3,2.96875,1.71875,1.3790607452392578,0.12418089424832512
3,2.65625,2.03125,3.7073230743408203,1.3315672140935253
3,2.65625,2.34375,3.883028030395508,2.0552312286060017
3,2.96875,2.03125,0.03308296203613281,-0.15661280535772953
3,2.96875,2.34375,2.1619129180908203,0.5249729996937977
3,3.28125,1.40625,4.40739631652832,2.8552431181769387
3,3.28125,1.71875,2.790956497192383,0.7899725861916775
3,3.59375,1.40625,13.072175979614258,8.110522466544314
3,3.59375,1.71875,13.40886116027832,7.718899827435016
3,3.28125,2.03125,3.398103713989258,0.5952097041226154
3,3.28125,2.34375,7.602128982543945,3.4514129548416355
3,3.59375,2.03125,16.091203689575195,9.487685234987044
3,3.59375,2.34375,22.492494583129883,14.62938635552175
